Road Traffic, Scenario = 1, Dally = 0.00, Trials = 100
_#___<__>__=_>________<___________>__=__>_______________>___>_______=_______>________X___<___>________>___=________<_____>_X_>X_>__<__>__X_>__<_>________>________>____>___>_<_=XX_>____>_______________
___#___>__=_<__>___________>________=__=__=________________=____>________=____>______X_____>____>________<_=____________>_<_>X_>__>__>_<__>__>_=__>__________<______>____>__<_=XX_>__>______>___________
_____#__<__<__>__=______________=_____=_<____>_________________>_____>_______<___>____>_______>_____>_____<__>___________<_=X_>__>__=_<__>__>_<__>___>___________=____=___<__=XX_>__>__=________=_______
_______#__>__>__=___>________________=X___>_____=___________________>_____=____<_____>__>_________>______>__>__=_________X_XX___>__=X___>__=_<_=___=_____>__________<____>__>XX_>__>__=__=___________>__
__=______#_<___=___>____>____________X_>____=______=_____________________=____<__=_____<___>___________>___<__=___>_______>X_>____=X_>____=X__=_=_____>_______>_________>__<XX_>__>_<___=___>___________

Time: 7
#_=__=_=____==_________________=_=___=_____________=___=__=________________=_________==___=__=__________=_=_____=__________===_==__=_=____==___==________________=____=_=_=__=__====____________________
#___<_<__>__X_____=_____________<__>__>______________<___<_____=___________X_________X__>__>_____>_______<_____=____=______XX_<X__>_<____>X__>_X____>____________X____X__=__<_=_XXX__>__________________
_#___<__>__=_>________<___________>__=__>_______________>___>_______=_______>________X___<___>________>___=________<_____>_X_>X_>__<__>__X_>__<_>________>________>____>___>_<_=XX_>____>_______________
___#___>__=_<__>___________>________=__=__=________________=____>________=____>______X_____>____>________<_=____________>_<_>X_>__>__>_<__>__>_=__>__________<______>____>__<_=XX_>__>______>___________
_____#__<__<__>__=______________=_____=_<____>_________________>_____>_______<___>____>_______>_____>_____<__>___________<_=X_>__>__=_<__>__>_<__>___>___________=____=___<__=XX_>__>__=________=_______
_______#__>__>__=___>________________=X___>_____=___________________>_____=____<_____>__>_________>______>__>__=_________X_XX___>__=X___>__=_<_=___=_____>__________<____>__>XX_>__>__=__=___________>__
__=______#_<___=___>____>____________X_>____=______=_____________________=____<__=_____<___>___________>___<__=___>_______>X_>____=X_>____=X__=_=_____>_______>_________>__<XX_>__>_<___=___>___________
______<___#__>____>____>_____>_______X___>____=________>_____________________<__<__=_____=_____>_________<__<___=____=____XX___>__XX___>__X_>__=__>_______>_______<______<_XX_>__>X___>____>____>_______

Time: 8
#_=__=_=____==_________________=_=___=_____________=___=__=________________=_________==___=__=__________=_=_____=__________===_==__=_=____==___==________________=____=_=_=__=__====____________________
#___<_<__>__X_____=_____________<__>__>______________<___<_____=___________X_________X__>__>_____>_______<_____=____=______XX_<X__>_<____>X__>_X____>____________X____X__=__<_=_XXX__>__________________
_#___<__>__=_>________<___________>__=__>_______________>___>_______=_______>________X___<___>________>___=________<_____>_X_>X_>__<__>__X_>__<_>________>________>____>___>_<_=XX_>____>_______________
___#___>__=_<__>___________>________=__=__=________________=____>________=____>______X_____>____>________<_=____________>_<_>X_>__>__>_<__>__>_=__>__________<______>____>__<_=XX_>__>______>___________
_____#__<__<__>__=______________=_____=_<____>_________________>_____>_______<___>____>_______>_____>_____<__>___________<_=X_>__>__=_<__>__>_<__>___>___________=____=___<__=XX_>__>__=________=_______
_______#__>__>__=___>________________=X___>_____=___________________>_____=____<_____>__>_________>______>__>__=_________X_XX___>__=X___>__=_<_=___=_____>__________<____>__>XX_>__>__=__=___________>__
__=______#_<___=___>____>____________X_>____=______=_____________________=____<__=_____<___>___________>___<__=___>_______>X_>____=X_>____=X__=_=_____>_______>_________>__<XX_>__>_<___=___>___________
______<___#__>____>____>_____>_______X___>____=________>_____________________<__<__=_____=_____>_________<__<___=____=____XX___>__XX___>__X_>__=__>_______>_______<______<_XX_>__>X___>____>____>_______
_________<__#___>_____>_____>_____=___>_____>____>__________>__________________<__=___>_____>_______>______=__>___=_____=_XX_____=X_>____=_>_=___>___>_________>_______>__=X_>__>X_>____=______>_____>__

Time: 9
#_=__=_=____==_________________=_=___=_____________=___=__=________________=_________==___=__=__________=_=_____=__________===_==__=_=____==___==________________=____=_=_=__=__====____________________
#___<_<__>__X_____=_____________<__>__>______________<___<_____=___________X_________X__>__>_____>_______<_____=____=______XX_<X__>_<____>X__>_X____>____________X____X__=__<_=_XXX__>__________________
_#___<__>__=_>________<___________>__=__>_______________>___>_______=_______>________X___<___>________>___=________<_____>_X_>X_>__<__>__X_>__<_>________>________>____>___>_<_=XX_>____>_______________
